Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
KIT-MARK-001,Mark identity & naming invariants,As a host integrator I need the kit to declare brand identity so ports never invent a mascot name.,mark.json declares version versioned string; name 'Mininja mark'; owner 'Thingscorp LLC'; mascotNamed===false; forbiddenNames includes 'Casque'. Glyphs ARE the mark.,Any truthy mascotNamed; missing Casque in forbiddenNames; inventing alternate personal names in host copy.,TC-KIT-MARK-001a; TC-KIT-MARK-001b; TC-KIT-MARK-001c; TC-KIT-MARK-001d,Tested,0,n/a,check-consumers enforces mascotNamed + Casque. Never name the mascot.,2026-09-25
KIT-MARK-002,5×3 glyph grid construction,As a designer I need a fixed cell grid so every face stays on the same lockup metric.,grid.columns=5 rows=3 cellAspect='1:1' totalCells=15. Canonical lines are exactly 5 cells × 3 rows.,Non-square cells; lines with wrong cell count; redrawing mark as bitmap substitute.,TC-KIT-MARK-002a; TC-KIT-MARK-002b; TC-KIT-MARK-002c,Tested,0,n/a,Narrated by CONSTRUCTION.md / STYLEGUIDE; numbers only in mark.json.,2026-09-25
KIT-MARK-003,Unicode codepoints catalog,As an adapter author I need the hood/block codepoints listed so renderers do not invent glyphs.,codepoints lists hoodCornerRightFacing U+259A; hoodCornerLeftFacing U+259E; fullBlock U+2588; upperHalfBlock U+2580; space U+0020.,Substituting similar box-drawing; omitting mirrored corner for left-facing.,TC-KIT-MARK-003a; TC-KIT-MARK-003b; TC-KIT-MARK-003c,Tested,0,n/a,Eyes/state glyphs live under faces not codepoints.,2026-09-25
KIT-MARK-004,Canonical idle lockup,As a stranger porting Mininja I need a single idle lockup I can ship in ~60s.,canonicalIdle.lines is the default three-line right-facing lockup; note states glyphs ARE the mark.,Empty lines; diverging from faces.idle.lines; treating SVG as SoT.,TC-KIT-MARK-004a; TC-KIT-MARK-004b,Tested,0,n/a,Presence ladder level 1 mark-only needs canonicalIdle.,2026-09-25
KIT-MARK-005,Mirrored idle / left-facing lockup,As a scoot host I need a left-facing body so loadingLeft and facing-left work without redrawing.,mirroredIdle.lines is left-facing body; usedBy includes loadingLeft and facing-left. faces.loadingLeft.mirrored===true.,Mirroring eyes only without body; using right hood on left face.,TC-KIT-MARK-005a; TC-KIT-MARK-005b; TC-KIT-MARK-005c,Tested,0,n/a,Presence ladder level 3 scoot-facing needs mirroredIdle.,2026-09-25
KIT-MARK-006,Clearspace & minimum size,As a brand reproducer I need clearspace and min size numbers from kit not brand prose inventing them.,clearspace.rule one block-row height; asFractionOfHeight≈1/3. minimumSize.digitalPxHeight=24 terminalRows=3 minCellPx=8.,Shrinking below 24px digital; ignoring terminal 3-row floor.,TC-KIT-MARK-006a; TC-KIT-MARK-006b; TC-KIT-MARK-006c,Tested,0,n/a,Docs narrate; kit holds numbers.,2026-09-25
KIT-MARK-007,Monochrome mark + UI-only mood colors,As a UI host I may tint chrome with mood colors but must keep the mark fill monochrome.,monochrome===true. moodColorsUiOnly keys idle/accent/ok/warn/err with hex #334155 #6366f1 #22c55e #eab308 #ef4444. Face tones use those five ids.,Painting mark fill from mood hex; inventing parallel mood table; treating muted as mark moodColorsUiOnly key.,TC-KIT-MARK-007a; TC-KIT-MARK-007b; TC-KIT-MARK-007c,Tested,0,n/a,STYLEGUIDE: muted is optional host/scene tone; scene emotions use muted. Recipe then.mood.tone should stay recipe-compatible with tone ids.,2026-09-25
KIT-MARK-008,Face catalog (15 expression states),As a creature host I need the closed set of face ids with eyes/tone/motion/mirrored/lines.,faces object has exactly 15 keys: idle blink evaluating allowed asking denied sandboxing executing completed warning error cancelled offline loadingRight loadingLeft. Each has eyes[2] tone motion mirrored lines[3].,Unknown face id (adapters fall back to idle); firing blink as a response face; inventing parallel face tables in hosts.,TC-KIT-MARK-008a; TC-KIT-MARK-008b; TC-KIT-MARK-008c,Tested,0,n/a,Recipe then.face targets these ids. Demotion of recipes ≠ remove face vocabulary.,2026-09-25
KIT-MARK-009,Presence ladder (mark→faces→scoot→scene),As a porter I need an explicit ladder so I can ship mark-only without dragging scene.,presenceLadder levels 1 mark-only (canonicalIdle); 2 face-states (faces); 3 scoot-facing (faces+mirroredIdle); 4 scene-strip (kit/scene.json).,Skipping to scene without documenting layer; claiming scene required for first face.,TC-KIT-MARK-009a; TC-KIT-MARK-009b; TC-KIT-MARK-009c,Tested,0,n/a,PORTING.md narrates; ladder data in mark.json.,2026-09-25
KIT-SCENE-001,Scene geometry SoT,As a habitat host I need exact strip math so camera/rest points do not drift.,geometry.stageWidthPx=420 stageCount=7 worldWidthPx=2940 anchorRatio=0.42 restOffsetPx=176.4; formulas for stageOrigin restPoint worldWidth.,Inserting 8th stage without updating N/L; using 0.5W rest; dual STAGE_WIDTH constant.,TC-KIT-SCENE-001a; TC-KIT-SCENE-001b; TC-KIT-SCENE-001c,Tested,0,n/a,Console must align; check-consumers asserts. Apps UI not kit-owned.,2026-09-25
KIT-SCENE-002,Default scene intent,As a runner I need stock defaults when no intent is applied.,defaultScene emotion=idle action=idle stage=dock facing=right line='' intensity=1 holdMs=0.,Teleporting unknown stage; empty emotion.,TC-KIT-SCENE-002a; TC-KIT-SCENE-002b; TC-KIT-SCENE-002c,Tested,0,n/a,Matches TERMINAL-MOTION defaults.,2026-09-25
KIT-SCENE-003,Motion constants,As a locomotion host I need walk/run/patrol/camera/step numbers from kit.,motion includes walkPxPerSec=170 runPxPerSec=280 patrolPxPerSec=26 arriveEpsilonPx=6 patrol insets/span camera look-aheads follow rate step periods dtClamp adjacentStageWalk/RunSec fullPatrolSec.,Inlining divergent speeds in banner; ignoring reduced-motion host policy (host not kit).,TC-KIT-SCENE-003a; TC-KIT-SCENE-003b; TC-KIT-SCENE-003c,Tested,0,n/a,check-consumers asserts console walk/run + camera ratios.,2026-09-25
