Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F01,Boot sequence,As an operator I see the lockup arrive before commands so I know who I am talking to.,Boot steps 0-6 over ~4s. Step 1 lockup only. Step 2 blink. Step 3 name and tag. Step 4+ command list. Step 6 prompt. prefers-reduced-motion jumps to step 6.,Reduced motion; unmount mid-boot; click before ready is ignored.,T01-T04,TESTED,0,medium,Timers 700 1100 800 550 450 450,2026-08-17
F02,Official lockup,As an operator I always see the 5x3 ninja head as the single character.,Renders FRAMES[state] three lines. Quiet hides label. Color from tone map.,Unknown state would throw. Only one instance on screen.,T05-T07,TESTED,0,high,Spec body static eyes mutate,2026-08-17
F03,Idle blink,As an operator I see him blink every 6-14s while idle and online.,150ms ── then ●●. No blink when offline or not ready.,Offline after ready must stop blink. Reduced motion still blinks after ready.,T08-T09,TESTED,0,medium,Effect deps omit offline,2026-08-17
F04,Command list,As an operator I start work from visible commands.,Buttons now todo pause plan api pgeon call run(cmd).,Clicks during boot ignored. Stop propagation vs page focus.,T10-T11,TESTED,0,high,now label says current state,2026-08-17
F05,Command input,As an operator I type a command and submit with Enter.,Trims input. Empty submit no-ops. Logs cmd then reply after 650ms. Clears field.,Whitespace only. Slash prefix stripped. Auto focus after boot.,T12-T15,TESTED,0,high,aria-label command,2026-08-17
F06,Current state,As an operator I ask now and see live version pause and saved work.,now overview what whats return Current state fields Live Next Saved Feature pause.,Empty string cardFor returns today not now. START now must match this card.,T16-T18,TESTED,0,high,now currently aliased to today in cardFor,2026-08-17
F07,Work list,As an operator I ask todo and see the four jobs that need me.,todo tasks loops return four loop titles. today and do return numbered list with select-a-line copy.,Rows promised clickable.,T19-T21,TESTED,0,medium,today rows are not buttons,2026-08-17
F08,Feature pause,As an operator I do not see a fake feature clock.,pause and freeze are unknown. No 3 days until new features. No pause command.,Old freeze alias is gone.,T22,RETIRED,0,low,Removed. Meant nothing,2026-08-17
F09,Work order chart,As an operator I ask plan and see jobs laid out by dependency.,plan gantt blockers chart return five scheduled bars. Mint ready. Accent critical path. Gray waiting. Click bar inspects job.,Horizon 4. Cycle deps guarded. Short gantt aliases.,T24-T28,TESTED,0,high,Self-ordering schedule(),2026-08-17
F10,Main program lookup,As an operator I ask api and see what the main program does.,api or look api returns The brain job and next step.,Unknown service falls through. workbench shortcut.,T29-T31,TESTED,0,medium,findService substring match,2026-08-17
F11,Command help,As an operator I type help and see every command I can run.,help hi hello words list now todo pause plan offline api pgeon.,Missing wake reconnect status clear.,T32-T33,TESTED,0,low,,2026-08-17
F12,Offline sleep,As an operator I put him to sleep or lose the network and see the offline face.,offline or sleep sets offline. Eyes ‒‒ muted. No blink. Other commands refused. navigator.onLine false also sets it.,wake while actually offline stays offline. reconnect promised.,T34-T38,TESTED,0,high,reconnect not implemented,2026-08-17
F13,Wake,As an operator I type wake and he returns if the network is up.,wake or online clears simulated offline unless navigator is offline.,reconnect documented but not accepted.,T39-T40,TESTED,0,medium,,2026-08-17
F14,Clear log,As an operator I type clear and the transcript empties.,clear sets lines to [] mood idle. No card printed.,Clear while offline is blocked by offline gate.,T41,TESTED,0,low,offline blocks clear,2026-08-17
F15,Unknown command,As an operator I type garbage and he errors.,Unknown command card. Face should be error ×× then idle.,afterCommand still looks for old titles.,T42-T43,TESTED,0,high,afterCommand mismatch,2026-08-17
F16,Job inspect,As an operator I click a chart bar or name a job and read why it exists.,findBlocker by id or title. Shows days start ready or waits on.,Short queries match too many titles.,T44-T46,TESTED,0,medium,substring greedy,2026-08-17
F17,Loop inspect,As an operator I name a loop and read why it matters.,No loop table exists in the current shell. cardFor does not implement findLoop.,Ghost from an earlier cut.,T47,RETIRED,1,low,Removed from product,2026-08-17
F18,Service inspect,As an operator I name a part of the machine and read its job.,look X or service id or label. First service if look with no match.,the matches The brain. Retired kanban included.,T48-T50,TESTED,0,medium,substring greedy,2026-08-17
F19,Mood after command,As an operator I see evaluating then a result face.,650ms evaluating ◐◑ then afterCommand then 800/1200ms hold then idle.,Unknown should error. pause should warning.,T51-T53,TESTED,0,medium,,2026-08-17
F20,Asking face,As an operator I see ?? while I type.,Input non-empty and idle mood shows asking.,Offline overrides asking.,T54,TESTED,0,low,,2026-08-17
F21,Reduced motion,As an operator who prefers less motion I skip the boot wait.,matchMedia reduce sets boot 6 immediately. CSS animations disabled.,,T55,TESTED,0,medium,,2026-08-17
F22,Theme tokens,As an operator I see Hubzz dark surfaces and purple accent.,body bg #0E0F12 fg #c7d2da mono IBM Plex. accent #735FFA.,Missing @theme breaks all utilities.,T56-T57,TESTED,0,critical,Was wiped once,2026-08-17
F23,Home route,As an operator I open / and get the terminal.,Route / renders Mininja. Title Mininja.,,T58,TESTED,0,high,,2026-08-17
F24,Login route,As an operator I can open /login.,Shows Sign in. If auth disabled shows Sign-in is disabled.,Auth typically off.,T59,TESTED,0,low,Not linked from home,2026-08-17
F25,Error screen,As an operator I see a recovery screen if a route throws.,AppErrorComponent with message and alert icon.,Uses zinc light/dark not Hubzz tokens.,T60,TESTED,0,low,Style drift,2026-08-17
F26,Document head,As an operator sharing a link I get a titled page and theme color.,utf-8 viewport title Mininja theme-color #0E0F12 og type x:game favicon manifest.,og image only if VITE_PUBLIC_HOSTNAME set.,T61,TESTED,0,low,og type leftover,2026-08-17
F27,Click to focus,As an operator I click the page and the prompt focuses.,Root click focuses command input. Command buttons stopPropagation.,,T62,TESTED,0,low,,2026-08-17
F28,Mobile layout,As an operator on a phone I use the same terminal without horizontal scroll.,390px no overflow-x. Gantt stacks. Prompt usable.,Day headers hidden under sm.,T63,TESTED,0,medium,,2026-08-17
F29,Schedule engine,As an operator the chart orders work by what must finish first.,earliest start = max(dep.end). Critical = on a longest path to max end. Cycles return 0.,Empty list horizon 1. Missing dep skipped.,T64-T67,TESTED,0,high,Pure function,2026-08-17
F30,Unused spec frames,As an operator I expect loading allowed denied sandbox cancelled faces when those events happen.,Frames exist in FRAMES. pgeon best/vote/ask empty now trigger allowed sandbox denied.,Spec incomplete vs live moods.,T68,TESTED,0,low,pgeon uses three unused faces,2026-08-17
F31,Status listing,As an operator I type status and see what is up.,cardFor has no status verb. afterCommand still mentions it. Result is Unknown command.,Stale register row.,T69,RETIRED,1,low,Do not implement a fake status box,2026-08-17
F32,PWA shell,As an operator I can install the page.,manifest and apple-touch-icon linked from root.,Install page is grok template.,T70,TESTED,0,low,Not product-specific,2026-08-17
F33,Pgeon plugin,As an operator I run pgeon and see verified answers where votes cannot mint a best.,pgeon is a modular plugin. open lists questions. best returns carol and gates bob. vote bob records votes and leaves best on carol. ask empty returns no best. Faces allowed sandbox denied.,Unknown verb errors. reset restores seed. Store is session-only.,T71-T76,TESTED,0,high,Converted arena core only no HTTP MCP or BT,2026-08-17
F34,Refine toggle,As an operator I turn prompt refinement on or off with one command.,refine with no argument toggles. refine on and refine off set the switch. Hero shows refine while on. Off removes it. Fitness is still not a verified best.,Unknown verbs error. reset turns it off.,T77-T80b,TESTED,0,high,Was a four-verb menu,2026-08-17
F35,Pgeon pigeon,As an operator I see a small ASCII pigeon join him when pgeon is active.,Pigeon is a 2-line (•)> /) mark in the hero. Pose follows the last pgeon card. Leaves when the last card has no bird.,Reduced motion holds frame 0.,T81,TESTED,0,medium,Guest in hero not in the pile,2026-08-17
F36,Compound program,As an operator I run the sidecar loop without growing another program.,compound prints the sidecar. goal shows locked criteria. skeleton lists modules. sequence is light. check locks compound. next stops at 5/5.,reset restores seed. Default verb is sidecar not help.,T82-T84,TESTED,0,high,unix-compound converted for this console,2026-08-17
